Image,Label
5549,0 2
16245,3 4 6 7
422,4 6
18438,1
21285,4
8541,7
12735,3
27520,6
26399,4
22741,2 4
7950,2
23515,4 7
23167,2
10044,7
4337,4 5 6
17605,0
249,4 6
10920,4 6
27467,7
25435,6
8220,3
26188,9
8978,4 7
351,9
19910,4
25923,0
8485,4 6
18824,5 6
31060,4
27949,0 4
6739,5
6617,4
3978,2
22975,4 6 8
25223,4 6
27038,7
9481,2 4
1383,6
29957,4 6
18004,9
22740,0 4
7488,3
27743,4
12849,4 5 6
30095,3 6 7
24523,4 6
7106,3
1995,4 7
9238,0
17528,4 6 8
7026,0
18469,6
1777,6
10735,3 4
4885,6
3368,4 6
4623,3 4
24467,6
24566,4 6
11617,4 7
5642,4 7
13635,0 4
15195,0 2 4
21435,6 9
17462,6
262,4 5
23925,4 6
6300,4
5768,9
13439,2 6
17264,2 4
7802,4
13357,4 6 7
16840,1 6
15609,4
3646,5
21245,3 9
9537,2 4
29395,4
28512,6 7
9085,4 7
13096,2
14030,2 4 6
21917,4 6
16805,4
16676,4 6
7943,4 6
23416,4
4889,4
3391,5
22145,8
27100,4 6
5688,4 6 7
22900,7
4700,7
17558,2 4
28119,4 7
30474,3
441,7 9
14767,1
26328,1
29646,9
17939,4
18707,0 4
7324,1
19471,4
21147,0 2
9390,4
15409,9
2756,0 4
4178,3
27102,5
14611,1
17130,6
139,0
21918,4 6
13708,4 7
7072,3 4
29265,6
4835,6
2024,7
565,6
24114,1 4
26512,1 7
21667,0 4
20042,3 4
10306,4
15467,2 4 6
9906,4 6
11254,4 5
2547,4
4920,4 5 7
14644,1
12551,4 5
29029,6
29309,4 5
9884,2 4
18234,9
20539,6
14871,6
3235,7 9
5939,4
25644,4
753,1
5747,4 7
5533,1 4
2108,3
26999,4 6
7451,0
2248,0
19580,4
8621,5 6
428,6
13817,2
5488,1 4
24825,1 4
6010,4
28995,1
29726,3
24508,5
30563,5 9
9662,7
18772,3 7
6026,3
16141,2 4
25130,6
9737,4 6
29769,6 9
27709,4 7
729,1 6
3336,9
13889,7
28782,2
12561,5 7
9384,7
28103,4
12365,2 4
20574,3 6
21049,4
17884,6
24362,1 3 4
3484,0
25159,9
14194,8
28473,4 7
23525,0
21395,4
23483,0
22428,6 7
13868,0
28589,4
23449,7
755,2
21271,2 6
7954,2 6 7
22409,4 6
28879,6
30311,6
22157,9
20321,1
3224,4 8
16106,4
10700,4
13835,3 4
22731,3 4
21355,3
14756,0 4
19979,4
4035,2
11443,9
25836,4 6
29825,8
15007,4 6
20300,9
8151,3 4
26465,4
5634,1 6
16257,2
7658,6
17849,7
26401,6 7
21678,1
17444,9
24929,6
21515,3
1715,8
15871,4 6
15526,0
23410,4 6 8
16324,0
17472,4
21130,7
28689,1 4
20291,4
28527,3 6
14933,4 8
10764,2 4 6
25161,4 7
5690,4 6
6108,6 8
29999,1
7856,4
28916,9
6133,7
16247,2
16723,4 6
25102,1
9113,0
30006,4 7
9975,0
11544,3
5625,3
27866,5
6288,4
20851,3
3220,6
27205,2
7065,4
23000,3 6
13982,4
11097,7 9
23769,3 4
25983,3 4 6
21391,4 6
4387,4 6
13268,6 7
10645,4
2580,3 4 7
10460,1 6
18897,1 6
17071,4
13548,8
20102,6
11594,7
27326,4 6
18667,6
21902,3
1350,0 9
7042,0
13211,3 4
21476,0
27658,7
3487,4 6
9754,3 4 6
14492,4
22682,0 2
16470,7
27606,4 8
295,6
22917,8
26649,4
26750,7
20403,2 6
6150,2
3055,2
28610,0 4 7
21343,1 4 6
18952,4
16137,4
8259,1 4 6
25177,0
20130,2 4
29177,4
24886,4
524,4
15439,0
18388,0
2965,7
4882,0 4 6
9686,2 4 7
22983,2 4 6
10229,2 4 6
2333,7
18781,0 4
21768,9
13080,3 4 6
1868,4 6
10166,1
6413,4
25818,6
23473,7
27868,2 4 6
16494,2 6
5408,0 4
15037,6
26841,6
5088,4 7
29616,4 6
8009,3 4
6174,2 4 6
16143,3 6
16372,4 7
20406,6
976,2 4 6
2041,1
1483,2 4 7
17127,1
718,4 7
17286,4 6
28412,6
10535,5 6
9817,1 6
5567,4 7
30409,4 6
7977,9
12786,8
5071,0 9
8749,9
8915,0
17662,4
30605,1
4579,6
29606,2 4
27657,7 8
915,4 6
10361,8
27637,2 6
17974,0 2 7
14905,2 4 9
28524,9
30677,4 7
30493,5
12327,9
3279,1 4
24123,4
14391,2 4
8761,2 6
2423,1
29563,1 4 6
25460,1 4
2596,7
29114,6
28748,4 6
28959,6
512,6 7
18398,4 6
25406,0 6
18992,4 6
15406,9
15302,6
7975,4
20639,2 4
17355,1
28683,0
27662,3
11494,4
29761,0 4
4841,6
6158,0
29641,6
7921,6
7815,0
1485,1 4
17133,0 4
7952,4 6
8810,0
10744,2
35,2 4
5594,4
15674,6 9
28831,4 6
4857,4
19766,4
6590,1
22932,9
18302,4
11006,0
5548,1
11309,5 6 9
12026,4 6
15522,3 4
13140,4
26500,2
19016,6
21214,2 6
19099,4 6
22832,1 4
28735,1
10433,4
14269,4
1018,7 9
15422,2
23234,4 6
29521,4 6
11414,6
21270,3
10620,5
22231,3
24442,3 4 6
15653,4 6 7
16503,4 6
19997,6
5793,7
4397,0
22876,2 4
19415,5
8506,4 6
15635,3 4
1465,0
26596,3 5
25764,6
10242,4
30023,2
23937,3 4
20782,1 6
6173,6 9
1218,4
20472,2
4126,4 5
9855,7
13833,7
18941,7
24424,3
18737,6 7
21547,4 6
10419,9
15536,0 2
13974,0 4
30067,4 6
3789,6
8461,0
14240,3 4 6
23813,4
4978,0
21482,2
11039,0 4 7
12377,4
29948,4 6
6915,6
5176,3
20859,9
8575,2 4
28185,7
457,3 4
20599,1 6
24404,4 6
20603,2 3
8014,4
27560,3
29815,1
13054,4 6
18098,4
30316,7 8
376,0
21368,4
24017,3 4
23203,3 4 7
27860,3
21498,9
22724,3 4 6
27046,4
12651,1
27940,4 5
6484,0
3274,4
919,8
24639,7
28888,4 6
9338,2
13141,4 8
18660,2 4
16759,4 6
23593,6
29054,0
23426,4 6
12964,4
25949,4 6
24516,6
4407,7
11904,3 4
3335,6
9853,6
10201,1
4657,1 4
19023,0
25875,9
26830,4
12204,0
26294,0 7
18094,4
25566,4 7
30276,4
16041,0
4420,6
11614,3 4
31056,2
508,3 4
26852,2 4
24360,4
5230,4 6
7683,4 6 8
7005,6
4550,1
728,6
9522,4
30870,0 4
9619,4
17038,1
6433,6
25049,4 5
3547,9
11638,0 4
4388,4
27540,4
12789,3 4
13471,0 2 4
12247,1 6
27649,4
8448,4 6
21688,2 4
12704,4 6
25647,4 6
19927,4
9208,4
9938,0 6 7
1720,4 6
23542,4 6
15989,3 4
31052,7
21774,1
7198,0 4
13615,4
27354,1 4
14137,1 4 6
13193,4
11240,4
10650,0 4
21414,8
22557,1 4
30070,2 4
15477,3 4
16986,5
11929,3
20068,4 8
2218,1 2
24148,1
6891,4
24976,4
14133,4 9
26889,0
18920,0
19332,9
893,0 4
30114,0
13415,7
6805,1 6
29046,4
443,4
8548,5
10778,3
28775,4
20957,6
25193,4 7
24594,2 6 7
4350,5
18243,6
14355,4
6001,3 4
12385,4 7
3854,4 6 7
13184,2 6
23454,4
15746,2
23985,6 8
12627,6
25065,1
12797,2 4
25810,1 4
10857,6
2411,9
10042,6 9
11319,6
27645,2 6
19186,3 4 6
69,4
26856,0 6
23244,2
12933,4 8
9077,2 6
15922,2 6
2435,1 4 8
30296,7 9
14872,3 6
16832,6 7
23504,7
12059,2 4
1059,4
8165,6
11270,4
26418,8
22351,4 6
5517,4 6
18013,0
6556,4 6
16050,0 4
10665,1 3 6
28889,3 4 5
12255,0 4
1517,2
24514,0
18605,2 4
4006,2
15140,1 4
28971,9
30371,0 6
29655,7
974,6 9
10154,7
6512,4
21366,4
29723,4 7
6649,3
7584,5
6325,3 4
15795,3
28820,4
3329,2
2793,0
30200,1 4 6
11225,3 4
2858,4
1631,4
13472,7
28993,4 6
22790,6 9
2581,5
27837,7
19119,6
17243,9
14138,4
95,9
11429,1
29148,2
3932,0
18416,2 6
10098,5 6 7
16486,2
24310,3 4
21809,4 7
13683,6
7189,6
6959,4 6 8
9782,1 4
3915,2 4 6
2957,6
8559,6
10217,3
137,7
29216,4 8
1392,4 5
2657,1
29960,6
24582,3 4 8
13494,7 9
7408,3
18164,0
13102,4 8
1940,6 7
270,0 4
12350,6
27265,8
8962,1 6
13990,2 4
597,2 4
14306,4 6
26198,1 4
14043,3 6
15233,3 4 6
24268,9
8190,4 6
5439,2 7
29546,7
4559,1 4
6592,6
17370,7
19630,4 6
3708,3
26954,4
7068,4 6
15295,4 6
23845,4
17449,5
23712,3 6
24623,2 4
28638,6
21686,6 7 9
598,5
4373,4
25497,4
30438,4
1085,0 4
23931,4
9108,4
27891,8
226,6
18546,1 4
28669,2
7187,4 6
20905,4 8
16850,4 5
14978,3
21153,4
4022,1 4
9310,2
19207,6 7 9
24861,2
11884,9
6414,4 5
26207,1
11328,4 7
2845,9
5979,2
15603,6
12824,4
1971,3 4
9061,2 4
25508,3
20366,1
11122,9
19600,3
5368,5
7213,3
24745,3 6
26778,6 9
981,2
25582,4
21503,6 7 9
11656,5 6
1397,4 8
16780,3 4
28352,4 6 7
24740,4 5
12124,2 4 7 8
17949,3
23452,4 6
4628,1 6
9854,6 7
4699,0
27973,2
18759,1 4 6
15251,4
2198,2 4 6
27292,6 8
11076,6 7 8
29858,2 4 6
28655,7
19913,4 6
2608,3 4
24680,2 4
4957,8
2531,3 4
16045,0
20555,1 4
4428,1
14178,0 4
12349,2 4
6379,4
2430,9
15750,7
19620,5
8791,0
1874,4 5
30886,2 6
15231,9
25381,4
378,4
14584,9
3327,6
9756,6
18180,2 4
25323,1 6
20164,1 2
27078,7
10930,6 7
19931,8
21183,6
19547,2 4
27992,2 4
5123,0 6
25475,4
2330,7
2652,9
1590,4 6
28550,4 8
1516,6 8
10935,1
1936,6
9567,4 6
10046,9
21754,6 7
102,3
24551,9
29308,4 7 8
7038,6
2202,4
392,8
30519,0
29326,5
2397,9
11051,4 6 7
29397,0
2357,6 9
3994,1 4
27673,1 6
4777,7
8850,2 4
27304,3
3561,0
25665,7
15498,7
440,6
5750,3
7547,4
18017,6
20115,2 4
13597,4
15334,4
22555,6 9
25335,2
13734,4 5
27221,0 2
16220,4
29979,7 9
25769,0
30273,2
17310,4
22494,5
26036,2 4
2131,5
10307,4 6
25393,4 5 6
11705,0 2
8501,4
15606,4 6
2630,1 4
9595,6 9
2158,0
1367,0 1 4
18268,6 7
208,4 7
23247,3
16405,9
1621,1 6
7519,2 4
15455,0 4
12696,0 2 7
8092,4 5
17608,6 9
19928,4
26971,0
23042,8
7118,4
14368,4 6
1583,4 6
263,4 8
4605,7
20203,1 6
19,1
15781,4
28322,4 7
11834,6
28914,9
5983,4
16506,4
14429,4 6
28174,7
14463,4 7
13176,4
17180,7
2374,4 7
4479,4
25759,5
11837,0 6
29629,4 6
16124,4
2908,2
16907,7
7313,4 7
29508,7
17506,2
2780,1 4
13765,6
11215,7
22416,0
12316,6
30157,4
8840,2
25306,5
21356,4 6
24689,3
15434,6
9308,8
14423,4
4855,2 8
17973,7
17913,2 4 6
8571,2 4
26153,4
20025,1
15592,4 8
6457,2 4
28109,2
5008,4 6
14734,0 2
12667,7
16497,5
8829,2 4
3087,4 6
28634,6
4468,4
2632,2
3257,8
2948,5
13565,4 6
1802,4
30642,0
326,4 7
10409,0
28423,1
25617,6 7
658,0 4
6689,6
29250,3
5131,4
17314,3 4
14066,3 4
30557,4
10281,4
3917,2 4
6796,5
29192,0
17399,3
17228,4 6
8226,6
24088,4 6
9615,2 4
4578,2 6
10773,6
941,4 6
17591,2 4
9670,6
2053,4
29448,1 4
6051,1
29430,3 4
23635,6
28949,9
15401,1 7
7572,6 7
15783,1
12812,2
12418,5
14547,4 6
19698,5 7
30234,3 4 6
20788,2
1237,4 6
30180,4 7
20103,4 6
6098,4 6 7
15493,4
14729,4
19549,6 7
18500,1 4
10498,2 4
24578,8 9
19790,0
13388,7
5823,4 8
13978,4 7
9611,4 5
8197,5
9770,4 7
24549,2
8290,4
8993,9
311,6
12780,4
30406,4 6
29873,4 6
27576,3
18241,9
13861,3
12782,4 5
4234,7
11232,9
21142,9
20865,3 4 6
9863,9
21250,4
25025,7
7880,3
30405,4 7
9391,2 4
6927,8
7123,4 6
19380,4
30977,9
19711,1 6
24237,0 4
9521,1
24700,3 4
19986,6
12119,2
22991,0 4
11576,4
5351,4
7791,0 5
24278,4 7
71,9
11380,4
6497,2
30885,9
22700,1
30491,7
4018,4 6 7
12325,4 6
26070,4
12054,1
18368,2
22838,3
4989,3
779,3 6
28482,2 4 6
29535,4
18021,4
30457,2
21718,2 4
19249,4 7
3009,3
14445,1
2818,6
4307,6
19700,4 6
8692,4
15708,4
25651,4 6
23318,2 3
10501,4 7
6562,3 4
23799,3 4
29861,6
18077,4
16606,4 5
8049,4
9874,4
22095,1
11580,7
9711,1 6
4555,1 6
14338,0 4
23746,4
12606,4
3456,1
15484,6 7
20272,3 4
17326,6
26244,6
26759,7
25505,4 7
16209,1 7
24678,4
25154,0 4
16519,4 6
18881,6
2395,6 9
12410,2 4
22694,4
2134,0 4
16523,4 6
24030,6
12177,1 6
3465,6
27903,6
30463,4
178,9
3124,4
11555,4 6
6347,6
27667,4 6
2719,4 6
2444,3
20350,3 4
804,1
27059,6
15221,1
1614,4
27958,0 4
18048,7 9
14795,1 4
1023,0 2 4
12697,3 4
24633,0
3178,4 5
14598,4
25387,5
2286,1
7866,4 8
15488,2
18217,4
22907,4 5 8
18304,4 6
29188,1
11701,2 4
7980,7
28154,9
27464,4
19184,6
10244,4
19619,1
6951,4
11410,1
16347,3
6425,4 8
4020,0
19783,4
30673,5
26300,4 6
15963,5
5981,4 6
22666,4
28354,3 6
20241,4
3010,3 4
11948,4
375,2 6
19527,2 3 4
23807,0
2040,2 9
13079,0 4
21063,0
6686,4 7
15283,4
25568,4
23833,4 6
27799,4
15136,2 6
30339,3 4
16905,3
18107,4
7385,1 4
28056,4 6
3313,0 2 4
29435,2 3
11776,4
4225,0 4
24702,3 4 6
13774,4
4604,5
6678,3 4
8236,6
18700,4
8862,1 6
9951,4
30726,0 7
3641,9
18340,2
25889,0
15854,2
5326,5
15423,5
6022,4
19552,2 4
1562,5
26471,6
224,0 4
17635,2 4
14929,0
4193,4
19390,2 9
15632,1 4
27704,4 5
18129,6 7
3704,2
7734,0
15543,2 7
5800,7
4927,4
7264,2 4
12149,6
19761,3 4
7779,0
29336,4 8
6765,4
24318,4 7
1335,3
25900,7
12766,0
18389,0
27811,4
966,6 8
28192,9
19450,3 4 6
30031,0
18320,1
27359,0 4
4080,6
7413,3 4
19140,6 8
28957,9
5943,4 5
1374,7
8937,4
19113,3
5664,2
4593,4 6
30532,3
28470,4 6 8
10938,6
30891,7
2467,4
18944,6
3218,3 4
20461,2 4
16116,0 8
19305,4 6
27245,6
9512,6
21046,4
30838,6
16232,1 4
4818,9
20107,0 4
9804,4
27058,0
4895,4
7720,8
11725,7
29208,2 4
22769,3 4
13135,2 4 6
16744,6
15546,2 4
13341,6
12836,1 6
28990,0
3875,2 4
1318,3 4
2059,6
25978,6 7
3461,3 9
26521,7
9278,4 5
24952,4 6
24333,4 7
7493,2 4
11342,1 6
12016,7
29900,6
12116,4 7
22707,6
11024,4
31058,1 2
29283,4 6
7226,6
8346,1 4
21327,3 5
15207,4
7634,3
14972,2 4 6 7
7776,7
2327,5 6
21824,4
21647,0
16795,5
3525,9
28037,4
15665,0 6
16967,5
27922,4 7
16637,4 6
8070,6
9223,6
18041,1 2 4
12829,4
16933,3
9058,0 4
23341,2 4
16403,4 6
28418,1 4 6
17217,4 6
3983,4 6
11193,4
29757,4 6
8103,5
10593,9
452,5
25240,6
7296,0 6
7335,4
29947,1
22411,4 5
23083,9
30641,7
10243,6
11899,4
5117,1 6
40,4
21051,4 6
8327,2 4
15152,4
6071,2 7
6976,4
3713,3 4
21511,7
9517,2 4
1593,3 4
15996,2 4
2355,4
11398,2
20212,0
28547,2 4 6
13512,4
3208,0
4756,4
30788,7
305,2 6
27525,4 6
2592,4 7
30367,0 4
14940,7
22234,3 4
28895,2 4 6 7
19189,4 5
8513,1 6
12670,7
4693,6
28682,4 6
8470,7
14526,7
7526,2 4
4254,4
4718,6
27933,8
5293,4
4218,1
3330,4 7
26302,0
21151,3
22151,9
19172,4 8
21230,3
10619,4
3007,4 5 6
1655,7
18739,7
1877,2 4
23397,2
2767,0
10397,4 6
30530,4 6 8
3253,5
13994,4 5
1608,0 2 4
2143,8
24987,6
4372,3 7 9
23009,4 5 6
2739,1 3
5546,0 2
14022,1 2
8748,4 6
23526,6 7
2598,2 4
11335,2 3 4
29906,7
13070,0
4876,6
848,2 4
13134,5
19851,2 4
22080,2 4
6470,5
5721,3
25936,7
13226,4 6 7
22454,1
3979,7
9200,0
12710,6 9
24473,4 6 7
29848,7
7290,5
6336,4 6
18884,6 7
5464,6 7
19084,4 6
1149,9
12128,3 4
14031,4
16773,4 7
13241,8
6608,6 7
18323,2 6
7193,0
15385,6
26644,6
29801,4 5
14974,0
25078,2 4
711,1
21732,4 8
2644,1 4
7700,4 7
20166,2
20214,7
17759,4 9
8858,0
17680,5 9
14472,0 4
8834,4 7
7233,4 7
28616,4
25414,4 6
25251,2 8
13133,0 4
22786,7
27671,2
6218,4
20392,1 4
26526,4 6
15912,3 4
14581,2 4 6
3913,2 4
9563,4
20417,0
4146,3
29632,5
15153,9
1803,2 6
18144,7
19513,4 7 8
10213,2 9
18384,6 7
4251,0 4
13060,3
10043,4 6
21229,0 2 4
26044,0 4
14808,2 4
15203,0 4
14539,6
11377,5
23468,2
25555,4 6
27375,5 6
20460,6
30871,4 5
7204,3
11809,7
25462,3 7
549,6 7
17248,0
9361,4 6
10598,2 4 6
4815,6 9
26318,1 7
7411,5
21124,4
3672,2 4 6
387,4 6
12608,3
8133,6
23524,0
25489,4
6114,1 6
24468,2 4
1010,2 4
16258,4 6
19269,3 4 6
25917,4 6
13703,0 4
4019,2 4
14073,7
26230,2
27695,9
23702,4
7781,2 4
30432,0
26781,4 5
20829,6
17112,5 6
15876,4 6
12690,9
19188,4 6 7
14470,5
23323,0
27183,4 6
28217,2 4
21888,7
6283,6
14970,7
19426,3
21894,1
30284,6
1321,4 6
29066,6
5433,1 4
12023,0
20668,7
22004,1
15051,4
22345,4
29537,1
19495,1 6
10437,0
25687,4
5100,4 6
6042,4 6
19912,1
19762,0
21607,7
16510,3 4
9519,4
29872,4
9023,2 4
18931,1
15958,4 7
22008,3 4
27395,1
29768,4
20562,1
14424,4
30551,6
22070,4
9127,6
6735,6
17850,4
11492,7
18515,1 4 6
14563,9
11907,4
24518,4 6 7
3580,7
5738,0 2
18555,4 6
20080,1 4
19169,4
23263,2 4 6
29205,2 4
13856,7
17697,4
17754,2
23358,0
25969,4 7
30223,3
20999,3 6
5503,1
10269,4
28414,1 6
2540,3
20523,4 6
28599,1
11558,4 8
14769,1 4
18833,4
844,3
22021,4 6 7
3482,2 4 7
6059,5
27433,1 4
29514,4 7
25057,8
3639,4 6
25700,2
17996,3 4 6
4968,7
25044,1
8316,4 6
4811,3 4 6
5178,2 6
15213,1 4
24897,4 7
22604,5
16988,4
25749,2 3 4
1657,7
9432,6
7318,1 3
703,4 7
5761,5
2194,4 6
16630,4 6
10865,1 4
23021,4
28541,4 5
25318,7
530,9
7355,6
19697,9
14775,3
531,3
20457,4 7
13414,4 7
4764,0 4 6
2619,7
16935,2 4
8827,4 6
29165,1 4
13092,6
30378,6 9
25439,1
28709,4 6
12138,6
5082,2 4
9484,4 7
1781,2 4
25850,4
2280,0 9
10823,6
14452,0 2
9398,4
15046,4
13751,7
9542,4 8
2744,2
16163,6 7
24284,4 6
12852,3 4
11119,8
450,2
8955,7
1684,5
4074,2 4
19276,0
25433,1 4 6
8129,4
16671,4 6
1938,4
349,1 6
28648,4 7
21980,0
4897,7 9
12847,1
25537,1 6
19878,0 4 6
1492,0 4
816,3 4
17006,3 5
482,4 6
17504,5 6 7 9
25907,6 7
7902,8
30338,0
12123,8
27855,4 7
1368,6 9
28851,4
4691,6 8
21470,7 8
12428,2 4
25413,0
7449,6
24147,3
20059,4
21319,6
5657,7
28816,1 4
27531,6
20342,4 7
16193,2 4 6 8
14353,4
5377,4
23788,4
3207,4
8574,4
13232,1 4 6
3934,1
11098,7
18224,0
20094,3
27829,9
24533,7
3462,2 4 6
789,4
26892,7
7282,0 9
25283,4 6
4246,6
28852,1 4
27166,4 6 8
22859,0
18472,4 8
25320,4 6
30899,6 9
2317,5
10372,4
20043,4 6
24213,1
23992,5
26424,1 4
7556,2 4
26784,0
2241,2 3
11334,6
534,0
19629,6
25463,2 7
1251,5
18731,2
20170,1
26219,3 4
23506,1
22294,7
19131,2 4
5038,4 6 7
22406,2 3
1382,5
2687,5
10111,1
21880,2 6
7522,2 4
8598,4
20645,1
14652,4
10005,9
13001,4 7
2627,0
5641,4 6 7
16693,3 4
28720,1
10719,7
21502,9
30445,4 6
27288,4
17037,4 6
3044,3 7
15681,4 6
8032,1 4 6
3486,1
8500,5
10885,4 7
24041,4 6
10013,5
11753,1
5003,4
11932,4
29932,2 4
3700,4 8
3808,2 4
13302,6
1071,4 5
8298,4
23399,0 6 7
6381,4
11125,4 6
19680,0 4
29467,6
21028,0
6514,0
21950,4
9084,1
6481,3
16346,2 4
3424,4
25663,0
3723,7
4672,9
23917,0
4739,5
1675,5
24528,7
10203,2
10336,6
30334,3
23794,1
16608,3
10548,4 6
3036,7
14833,1 4
12447,2 4
3172,4
6886,1 2 4
15913,1
7258,4 6
10873,8
13383,4 6
15106,4 7
17657,4 7
10587,9
17500,4 6
9909,0 4
14699,2 6
3861,4
744,7
15252,3 6
17611,2
30428,1 4 6
19558,0
2206,9
25961,1 2 4
24843,1 4
27782,7
27776,1
8171,4
5028,3 4 6
19507,1 4
11850,0
17493,9
7968,7
29257,4 8
4398,4 5 6
15669,3 4
20341,4
23073,4
1873,3 4
21378,4
11308,7
10781,1
20419,4
17984,7
23628,2
22743,0 4
28867,4 5
26848,2 7
16520,2 7
1343,6
24078,4 8
17758,2 4
4571,0
26860,4
12838,4 6
15729,5 6
20546,2 4
25266,0 4
12174,4 6 7
13723,6
20964,2 4
27405,2
14207,6
16548,0
8929,2 4
1286,1
11364,6
18250,2
10626,1 2 6
27273,0
7262,7
8277,3 4
8396,4 6
7188,6
29600,2 6
6180,4
6980,1
19241,6
12976,6 7
25784,7
1303,2 3 4
28934,3 4
16237,9
10105,3 4
23116,4 5
30967,6 7
4866,4
27415,0
18506,4 8
14960,3
25633,6
10249,2
27147,3 4
14223,4 6
30759,5
17911,4 8
3440,7
10483,0
5870,0
25649,4 7
10745,1
11844,4
14988,5 6
11573,6
5658,2
21510,6
25197,8
16436,2 4
3727,0
65,0
28488,9
18068,2
10682,0
17404,3 4
949,7
714,4
28870,2 6
5216,4
29975,7
166,4 6
16253,0
2636,2 4
2705,9
20252,2
10170,4
28996,9
17958,3 6
20231,1
7652,2
21893,6 7
25068,2 4 6 7
796,6 8
18573,6
24056,4 7
23703,1 7
8861,0
21922,3
12882,4
11543,4 7
15641,2 4
871,9
3416,6
16932,4 6
8561,4
25133,2 4
13115,6
10440,4
3891,1 6
20764,4 7
18665,0
20463,9
29097,4 6
28299,1 4 6
30041,3
19702,2 7
30286,1 6 7
26183,3 4
26885,4 7
2710,9
820,0 4
18324,1 2 4
7392,4
1411,6
23674,0 2 4
27976,3
4883,0
13844,4 6
4745,1 4 7
28023,4
22588,4
8619,6
3605,3 4
12937,2 4
21337,4
4992,5
22091,6 7
22903,3 4
22015,4 7
4708,1
12800,4
22437,4
14498,4 6
2624,3
8375,1 4
23266,2 4
25569,7
18016,2 4
17079,6 7
12485,9
25723,1
25972,3
6235,4 6
10532,3 4
26280,4 6
7684,3
3516,0
30404,6 9
20435,4
1484,4 6
7006,3
7292,4 8
683,1 4
7573,7
2924,4
18779,6
29225,6
16213,3
10221,6
10762,1 6 7
18434,2 4
27741,4
1578,6
2115,3 4 6
15124,4 9
5081,0
6329,2
5609,4 6
30993,1 4
14812,4 8
29394,1
6468,4
30839,5
3688,3
181,4 6
11751,4 6
22727,4 6
11774,4
28454,0 2
22551,4 5
22967,2
13197,4 7
13088,2 4 7 8
15225,2 4 6
18951,1
30814,6
2083,7
14798,5
24409,4 8
9583,8
24452,1 4
21621,4 8
21932,4
29456,4
24996,1 4
1319,4 7
16224,7
10147,4 8
3493,1 4
2629,3 4
11693,4
9342,4
24994,4 6
18450,4
23875,4
20451,2 4 6
3942,4
25069,1 6
22773,8
2878,3 6 7
5994,2 3
21789,9
7582,9
1462,8
13339,6
2102,4
29697,7
5932,9
4390,1 6
15333,0
19733,4 7
5415,4 6
10313,0 4
2496,2 4 6
12712,3
4487,3
9226,6
13878,4 6
8942,2 4
17209,4 6
21777,9
3570,4
8919,2 6
18035,2 6
11591,4 6
2573,2
17565,0
23892,4 7
1794,3
28403,6
15122,4
15859,4 6
21942,6 7
10802,4 7
2369,4 6
28572,6 9
29500,7
21971,4
26204,4 6
6682,6
13696,6 9
20799,4
12015,4
25958,0
2611,7
18949,4 5 8
18589,4 6
14222,4
20425,4 6
29720,4 7
25944,7
29715,3
29981,0 4
24307,7
7473,4
6707,0 4
14770,4
15792,4 6
21490,4
29860,4 6
29119,7
21089,4 6
5405,5
16736,2
6199,4
30651,4
17833,4
970,6 9
15448,6
24632,4 6
24711,4
5371,4 6
28216,2
7165,7
27075,5
2383,5 6
17154,1 4
10551,4
22405,5
6129,4 6
13484,4 6
10741,0 6
1663,7
19216,2 4
2689,4 6
16895,4
20121,6
30172,6 8
15694,6 7
3371,0 9
17201,6
26277,4 5
3035,5
15607,4 9
16669,1 4
24134,1 6
16334,2 4
9671,4 6 7
13231,4
22633,9
197,0 4
3900,4 6
26238,3 6 7
15047,1
3999,3
6341,2
25309,6
30700,4 5
25919,3
7713,7 9
23080,0 4
14090,4
1097,1 4
5214,0
8922,4 6
3518,3 4
10181,2 4 6
27358,4 8
15701,0 4
11359,4 6
23773,4 8
21234,4 7
18786,4 6 7
14894,2 4 6
24786,7
1373,4 7
13220,5 6
5946,4 5
8981,4 8
6517,3 4
2069,1
29839,2
13841,2 4
6539,4
27535,4 5
26614,6 9
4962,0 4
21206,4
13175,4 8
5763,0
23659,4
19612,1 4
131,4 6
15183,2 4
8078,5
13368,2 4
7116,0
6137,4 7
21695,2 4
20742,7
2184,4 6
20031,3 4
13270,1 4
1702,2 3 4
25029,4 8
20238,4
13185,4
12266,2 4 6
26537,0 4
25558,7
21384,0
10985,6
11791,0 4
23235,0 2
27529,1 6
614,6
4283,9
18871,4 6 7
26934,6 7 8
7045,5
29648,2 6
11588,2 4
4351,4 6
9166,0 4
15670,1
23251,0 2 4
28147,4 6
27635,6
5511,3
10373,0
24729,2
30295,6
19419,1 4
18319,8
1463,2
25834,4 8
13128,4 6 8
17683,0 2
9322,1 4
20674,6
27986,7
8784,6
4884,4 6
20584,0
5821,4
11316,4 6
16515,0 4 6
6724,3 4
6487,2 4 7
13351,4 6
15551,4
8473,4 7
14843,6 9
4524,4 6
27638,4
25122,0
14158,0 6
10923,4
14517,4 7
4650,4
17377,4
11981,0
6561,6
23497,4
4627,2 6
8512,2 4
7725,6
19843,7
9661,6
28988,7
21423,4
5725,0
24725,2
3557,4 6
25746,4 8
18387,5 7
4429,3 4
28160,8
15169,4 6
19563,5
12997,4 6
24857,6
19418,4 8
10600,7
18348,4
14275,7
10078,0
5797,1 3
22942,4
22858,7
14256,4 6
23871,4
8707,4
20537,9
6754,9
29547,4 6
17902,9
22779,1
4635,6 7 9
30774,6
6387,9
18988,7
1852,4
3057,6
